Имя;Пол
Абрам;М
Аваз;М
Аввакум;М
Август;М
Авдей;М
Авраам;М
Автандил;М
Агап;М
Агафон;М
Аггей;М
Адам;М
Адис;М
Адольф;М
Адриан;М
Азамат;М
Азарий;М
Азат;М
Айдар;М
Айнур;М
Айрат;М
Акакий;М
Аким;М
Алан;М
Александр;М
Алексей;М
Али;М
Алихан;М
Алмаз;М
Альберт;М
Альфред;М
Амадей;М
Амадеус;М
Амаяк;М
Амин;М
Амвросий;М
Анатолий;М
Анвар;М
Ангел;М
Андрей;М
Андрэ;М
Аникита;М
Антон;М
Ануфрий;М
Анфим;М
Аполлинарий;М
Арам;М
Аристарх;М
Аркадий;М
Арман;М
Армен;М
Арно;М
Арнольд;М
Арон;М
Арсен;М
Арсений;М
Арслан;М
Артем;М
Артемий;М
Артур;М
Архип;М
Аскольд;М
Афанасий;М
Ахмет;М
Ашот;М
Бахрам;М
Бежен;М
Бенедикт;М
Берек;М
Бернар;М
Богдан;М
Боголюб;М
Бонифаций;М
Бореслав;М
Борис;М
Борислав;М
Боян;М
Бронислав;М
Бруно;М
Булат;М
Вадим;М
Валентин;М
Валерий;М
Вальдемар;М
Вальтер;М
Вардан;М
Варлаам;М
Варфоломей;М
Василий;М
Ватслав;М
Велизар;М
Велор;М
Венедикт;М
Вениамин;М
Викентий;М
Виктор;М
Вилен;М
Вилли;М
Вильгельм;М
Виссарион;М
Виталий;М
Витаутас;М
Витольд;М
Владимир;М
Владислав;М
Владлен;М
Влас;М
Володар;М
Всеволод;М
Вячеслав;М
Гавриил;М
Галактион;М
Гамлет;М
Гарри;М
Гаяс;М
Гевор;М
Геворг;М
Геннадий;М
Генри;М
Генрих;М
Георгий;М
Геральд;М
Герасим;М
Герман;М
Глеб;М
Гоар;М
Гордей;М
Гордон;М
Горислав;М
Градимир;М
Григорий;М
Гурий;М
Густав;М
Давид;М
Давлат;М
Дамир;М
Даниил;М
Данислав;М
Даньяр;М
Демид;М
Демьян;М
Денис;М
Джамал;М
Джеймс;М
Джереми;М
Джозеф;М
Джордан;М
Джорж;М
Дик;М
Динар;М
Динасий;М
Дмитрий;М
Добрыня;М
Дональд;М
Донат;М
Донатос;М
Дорофей;М
Евгений;М
Евграф;М
Евдоким;М
Евсей;М
Евстафий;М
Егор;М
Елизар;М
Елисей;М
Емельян;М
Еремей;М
Ермолай;М
Ерофей;М
Ефим;М
Ефрем;М
Жан;М
